                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.7527,                 2.0133,                 1.6634,                0.05538,                0.24157,                0.04653,                0.02528,                 1.3014,                 22.994,                 1.2631,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.7658,                 2.0251,                 1.6621,                0.06739,                0.25078,                0.04768,                0.02548,                 1.3084,                 23.113,                  1.266,               0.006535,               0.006535,               0.006535
                     72,                 1.7345,                 2.0054,                 1.6464,                0.06912,                0.25754,                0.04852,                0.02587,                 1.3064,                 23.408,                 1.2661,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.756,                 2.0105,                 1.6599,                0.06394,                0.27105,                0.04786,                0.02544,                 1.3032,                  23.43,                 1.2644,               0.006436,               0.006436,               0.006436
                     74,                 1.7513,                 1.9818,                 1.6453,                0.06256,                0.28223,                0.04783,                0.02549,                 1.2985,                 23.561,                 1.2638,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.7469,                 1.9995,                 1.6543,                0.05987,                0.27327,                0.04875,                0.02578,                 1.3017,                 23.421,                 1.2656,               0.006337,               0.006337,               0.006337
                     76,                 1.7314,                 1.9727,                 1.6475,                0.05841,                0.27327,                0.04903,                0.02667,                  1.306,                 23.558,                 1.2688,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.7314,                 1.9751,                  1.641,                0.05791,                0.28223,                0.05001,                0.02678,                 1.3063,                  23.65,                 1.2713,               0.006238,               0.006238,               0.006238
                     78,                 1.7411,                 1.9911,                 1.6437,                 0.0593,                0.30693,                0.05021,                0.02706,                 1.3059,                 23.719,                 1.2708,              0.0061885,              0.0061885,              0.0061885
                     79,                  1.727,                 1.9759,                 1.6392,                0.05963,                0.30693,                 0.0506,                0.02733,                 1.3087,                 23.913,                 1.2759,               0.006139,               0.006139,               0.006139
                     80,                 1.7322,                 1.9758,                 1.6392,                0.05961,                0.30029,                0.05001,                0.02704,                 1.3087,                 24.001,                 1.2748,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.7195,                 1.9686,                 1.6364,                0.05779,                0.28457,                0.04959,                0.02689,                 1.3057,                 24.091,                 1.2725,                0.00604,                0.00604,                0.00604
                     82,                 1.7218,                 1.9476,                 1.6327,                0.05884,                0.28457,                0.05032,                0.02746,                 1.3068,                 24.241,                  1.272,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.7332,                  1.962,                 1.6345,                0.05949,                0.28678,                0.04986,                0.02718,                 1.3052,                 24.272,                 1.2713,               0.005941,               0.005941,               0.005941
                     84,                 1.7229,                 1.9575,                 1.6333,                0.06009,                0.28899,                0.04986,                0.02714,                 1.3083,                 24.395,                 1.2724,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.7145,                 1.9473,                 1.6242,                0.06131,                0.28899,                0.04989,                0.02714,                 1.3074,                 24.393,                 1.2715,               0.005842,               0.005842,               0.005842
                     86,                 1.7132,                 1.9321,                  1.631,                0.06042,                0.27781,                0.04971,                0.02699,                  1.307,                 24.421,                 1.2709,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.7115,                  1.931,                 1.6281,                0.06058,                0.27781,                0.04985,                 0.0271,                 1.3062,                 24.417,                 1.2687,               0.005743,               0.005743,               0.005743
                     88,                 1.7142,                 1.9386,                 1.6235,                0.06192,                0.27781,                0.05004,                0.02732,                 1.3061,                 24.417,                 1.2678,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.7133,                 1.9386,                 1.6184,                0.06147,                0.27105,                0.05028,                0.02739,                 1.3038,                 24.429,                 1.2667,               0.005644,               0.005644,               0.005644
                     90,                 1.7057,                 1.9327,                 1.6179,                0.06131,                0.27105,                0.05008,                0.02723,                 1.3031,                 24.494,                 1.2658,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.7057,                 1.9255,                 1.6163,                0.06067,                0.26843,                0.05127,                0.02785,                 1.3025,                 24.464,                 1.2655,               0.005545,               0.005545,               0.005545
                     92,                 1.7032,                 1.9293,                 1.6184,                0.05962,                0.26651,                0.05096,                0.02747,                 1.3012,                 24.471,                 1.2643,              0.0054955,              0.0054955,              0.0054955
                     93,                  1.696,                 1.9014,                 1.6077,                0.05915,                0.26651,                0.05056,                0.02734,                 1.3004,                 24.476,                 1.2624,               0.005446,               0.005446,               0.005446
                     94,                 1.7133,                 1.9092,                 1.6167,                0.05881,                0.26651,                0.05097,                0.02757,                 1.2992,                 24.548,                 1.2617,              0.0053965,              0.0053965,              0.0053965
                     95,                  1.693,                 1.8973,                 1.6098,                0.05967,                0.26651,                  0.051,                0.02728,                 1.3011,                 24.543,                 1.2624,               0.005347,               0.005347,               0.005347
                     96,                 1.6909,                 1.8905,                 1.6016,                0.06097,                0.26425,                 0.0512,                0.02775,                    1.3,                 24.516,                 1.2606,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.6926,                 1.8849,                 1.6043,                0.06124,                0.26053,                0.05164,                0.02775,                 1.2989,                 24.499,                 1.2607,               0.005248,               0.005248,               0.005248
                     98,                 1.6948,                  1.909,                 1.6084,                0.06057,                0.25975,                  0.052,                0.02799,                 1.3007,                 24.483,                  1.261,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.6904,                  1.888,                 1.6044,                0.06181,                0.25975,                0.05207,                0.02791,                 1.3016,                  24.43,                  1.261,               0.005149,               0.005149,               0.005149
                    100,                 1.6937,                 1.9008,                 1.6046,                0.06235,                0.25975,                0.05231,                0.02835,                 1.2991,                 24.492,                 1.2611,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.6883,                 1.8817,                 1.5906,                0.06288,                0.25975,                0.05265,                0.02842,                 1.3018,                 24.475,                 1.2623,                0.00505,                0.00505,                0.00505
                    102,                 1.6884,                 1.8551,                 1.5935,                0.06638,                0.25533,                0.05258,                0.02825,                 1.3007,                 24.451,                  1.261,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.6846,                 1.8713,                 1.5938,                 0.0644,                0.24857,                0.05251,                0.02794,                 1.3018,                 24.412,                 1.2624,               0.004951,               0.004951,               0.004951
                    104,                 1.6772,                 1.8639,                 1.5881,                0.06444,                0.25078,                0.05236,                 0.0279,                 1.3002,                 24.436,                  1.261,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.6746,                 1.8531,                 1.5853,                0.06411,                0.25078,                0.05202,                0.02764,                 1.2994,                 24.459,                 1.2604,               0.004852,               0.004852,               0.004852
                    106,                 1.6598,                 1.8333,                 1.5834,                0.06616,                0.25612,                0.05216,                0.02768,                 1.3008,                 24.448,                 1.2604,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.6832,                 1.8485,                 1.5868,                0.06502,                0.25754,                0.05237,                0.02775,                  1.301,                  24.45,                 1.2601,               0.004753,               0.004753,               0.004753
                    108,                  1.676,                 1.8537,                 1.5861,                0.06554,                0.25691,                0.05216,                0.02764,                 1.3003,                  24.47,                 1.2584,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.6765,                 1.8418,                 1.5874,                0.06323,                0.25078,                0.05232,                0.02784,                  1.299,                 24.448,                 1.2578,               0.004654,               0.004654,               0.004654
                    110,                 1.6658,                 1.8294,                 1.5827,                 0.0632,                0.25078,                0.05251,                0.02789,                 1.2985,                 24.397,                 1.2577,              0.0046045,              0.0046045,              0.0046045
                    111,                  1.666,                 1.8367,                 1.5787,                0.06317,                0.25868,                0.05241,                0.02812,                 1.3005,                 24.385,                 1.2582,               0.004555,               0.004555,               0.004555
